FileNo,BirdMamm,SpNo,SglMtp,Species,Bmass,logBm,NoBroods,MeanBS,MeanSires,MP,mean.q,sd.q,q2.5,q97.5,mean.nsires,sd.nsires,nsires2.5,nsires97.5,mean.nmates,sd.nmates,nmates2.5,nmates97.5,mean.estM,sd.estM,estM2.5,estM97.5,mean.est.pmult,sd.est.pmult,est.pmult2.5,est.pmult97.5,mean.avgR,sd.avgR,avgR2.5,avgR97.5,mean.avgM,sd.avgM,avgM2.5,avgM97.5,pred_pmult,pred_pmult_lcl,pred_pmult_ucl,resid_pmult,resid_pmult_lcl,resid_pmult_ucl
42,1,41,a,"golden whistlers, Pachycephala pectoralis",,,65,2,1.1385,0.123076923,0.587277394,0.012892326,0.562334419,0.612560231,1.313846154,0.579091355,1,3,3.427302,1.77945846,2,8,2.238260236,0.987998286,1.63707401,5.106274049,0.621576992,0.002657024,0.618143442,0.628080758,1.415824051,0.012928044,1.391144106,1.441504016,1.939476083,0.042601258,1.858529956,2.024527578,0.632482925,0.616207173,0.656753293,0.509406002,0.49313025,0.53367637
43,1,42,a,"golden-winged warblers & golden-winged X blue-winged, Vermivora chrysoptera x V. pinus",,,54,4.3704,1.7056,0.538461538,0.410902899,0.010294885,0.391007826,0.431622309,1.82962963,1.00030183,1,4,5.695484815,3.558334696,2,15,4.455501097,2.439249377,2.337775891,10.22544755,0.77516583,0.00482887,0.766550894,0.785533715,1.993328335,0.033223951,1.92973668,2.060815874,4.153408826,0.104087886,3.95154951,4.362002009,0.766017929,0.75842813,0.7759864,0.227556391,0.219966592,0.237524862
44,1,43,a,"great cormorant, Phalacrocorax carbo",,,30,4.1333,1.4333,0.3,0.41048996,0.013954976,0.383771924,0.437809872,1.643333333,0.834339532,1,4,5.204593667,3.193825788,2,13,4.007981348,2.040650736,2.303444721,9.670354388,0.762319382,0.005208359,0.753933759,0.773810464,1.912250851,0.041289392,1.83421769,1.994084927,3.495805232,0.119079414,3.273871663,3.734857197,0.758927706,0.751394518,0.76880751,0.458927706,0.451394518,0.46880751
45,1,44,a,great reed warbler,,,272,2.4982,1.0662,0.066176471,0.397116233,0.002136359,0.392962386,0.401319972,1.466874136,0.710576722,1,3,4.830142842,2.995860611,2,13,3.693922495,1.789529939,2.494272144,7.602536647,0.75291369,0.005899346,0.742090962,0.76080253,1.705131493,0.228866793,1.378868995,1.898469218,2.643079499,0.053323166,2.550719301,2.706909261,0.683162756,0.673602258,0.698042033,0.616986285,0.607425787,0.631865562
46,1,45,b,"great tit , Parus major",,,99,6.4681,1.617,0.553191489,0.241153224,0.001170061,0.238874162,0.243439639,1.782657658,0.945504377,1,4,8.343367703,6.050474636,2,24,7.392393901,3.921064405,4.114645173,16.63701811,0.801041805,0.015622697,0.786117369,0.825637744,2.046349798,0.185008826,1.839416151,2.321877197,5.590851805,0.541550368,5.154319307,6.739016858,0.798064683,0.788469607,0.811725397,0.490372375,0.4807773,0.504033089
47,1,45,b,"great tit , Parus major",,,13,6.3077,1.3077,0.307692308,0.241153224,0.001170061,0.238874162,0.243439639,1.782657658,0.945504377,1,4,8.343367703,6.050474636,2,24,7.392393901,3.921064405,4.114645173,16.63701811,0.801041805,0.015622697,0.786117369,0.825637744,2.046349798,0.185008826,1.839416151,2.321877197,5.590851805,0.541550368,5.154319307,6.739016858,0.799842125,0.790135787,0.813700568,0.246650636,0.236944297,0.260509079
48,1,45,b,"great tit , Parus major",,,47,6.7374,1.2626,0.252525253,0.241153224,0.001170061,0.238874162,0.243439639,1.782657658,0.945504377,1,4,8.343367703,6.050474636,2,24,7.392393901,3.921064405,4.114645173,16.63701811,0.801041805,0.015622697,0.786117369,0.825637744,2.046349798,0.185008826,1.839416151,2.321877197,5.590851805,0.541550368,5.154319307,6.739016858,0.8027799,0.792869723,0.816969678,0.550254647,0.540344471,0.564444425
49,1,46,b,"greater sage-grouse, Centrocercus urophasianus",,,191,6.3141,1.0737,0.073684211,0.242398165,0.002575747,0.237364425,0.24749196,1.650746269,0.85658814,1,4,7.775321542,5.668674092,2,23,6.810829854,3.535145683,4.052341668,16.4759008,0.79094545,0.004778691,0.785663597,0.796946868,1.935126565,0.084686792,1.832649074,2.041486258,4.69050774,0.265328867,4.353264971,5.039169975,0.798136499,0.788537096,0.811805168,0.724452289,0.714852886,0.738120957
50,1,46,b,"greater sage-grouse, Centrocercus urophasianus",,,10,7.2,1.2,0.2,0.242398165,0.002575747,0.237364425,0.24749196,1.650746269,0.85658814,1,4,7.775321542,5.668674092,2,23,6.810829854,3.535145683,4.052341668,16.4759008,0.79094545,0.004778691,0.785663597,0.796946868,1.935126565,0.084686792,1.832649074,2.041486258,4.69050774,0.265328867,4.353264971,5.039169975,0.807697338,0.797384925,0.822458206,0.607697338,0.597384925,0.622458206
51,1,47,a,"grey fantail, Rhipidura fuliginosa",,,25,1.96,1.8,0.64,0.607747526,0.019824666,0.568947414,0.646203373,1.464,0.681692149,1,3,3.7027872,1.924534134,2,9,2.411467187,1.126239143,1.556388201,5.108821853,0.614087989,0.003040308,0.611701387,0.622482383,1.417902916,0.019561098,1.380405641,1.456624832,2.964918672,0.097063546,2.785500779,3.163737028,0.627386488,0.610220677,0.652811852,-0.012613512,-0.029779323,0.012811852
