"species","nbrood","avgbrood","minbrood","maxbrood","pmult","avgsire","minsire","maxsire","species_ID","StudyID","PopulationID","Reference"
"Kentish plover, Charadrius alexandrinus",28,2.03571428571429,NA,NA,0,1,1,1,68,"333",84,"Maher et al 2017"
"Kentish plover, Charadrius alexandrinus",19,2.42105263157895,NA,NA,0,1,1,1,68,"333",509,"Maher et al 2017"
"Kittlitz's plover, Charadrius pecuarius",15,1.2,NA,NA,0,1,1,1,74,"333",92,"Maher et al 2017"
"Madagascar plover, Charadrius thoracicus",12,1.66666666666667,NA,NA,0,1,1,1,77,"333",95,"Maher et al 2017"
"Red-capped plover, Charadrius ruficapillus",4,1.75,NA,NA,0,1,1,1,75,"333",93,"Maher et al 2017"
"Rufous-chested dotterel, Charadrius modestus",8,1.75,NA,NA,0,1,1,1,72,"333",90,"Maher et al 2017"
"Snowy plover, Charadrius nivosus",93,2.16129032258065,NA,NA,0,1,1,1,73,"333",91,"Maher et al 2017"
"Two-banded plover, Charadrius falklandicus",6,2.5,NA,NA,0,1,1,1,69,"333",87,"Maher et al 2017"
"White-fronted plover, Charadrius marginatus",10,1.7,NA,NA,0,1,1,1,71,"333",89,"Maher et al 2017"
"Sociable weaver, Philetairus socius",20,2.8,NA,NA,0,1,1,1,238,"97",352,"Covas et al 2006"
"Crimsom rosella, Platycercus elegans",42,4.40476190476191,1,8,0,1,1,1,NA,"FSD",NA,"Eastwood et al. 2018"
"Elegant scops-owl, Otus elegans",108,1.85185185185185,NA,NA,0.00925925925925926,1.00925925925926,1,2,206,"226",281,"Hsu et al 2006"
"Ground tit, Pseudopodoces humilis",75,4.69333333333333,NA,NA,0.0133333333333333,1.01333333333333,1,2,265,"240",388,"Johannessen et al 2011"
"Kentish plover, Charadrius alexandrinus",63,1.9047619047619,NA,NA,0.0158730158730159,1.01587301587302,1,2,68,"333",86,"Maher et al 2017"
"New Zealand robin, Petroica australis",54,3.66666666666667,NA,NA,0.0185185185185185,1.01851851851852,1,2,228,"496",340,"Taylor et al 2008"
"Northern flicker, Colaptes auratus",53,6.92452830188679,NA,NA,0.0188679245283019,1.0188679245283,1,2,88,"545",NA,"Wiebe & Kempenaers 2009"
"Black grouse, Tetrao tetrix",130,7.08333333333333,NA,NA,0.0208333333333333,1.04166666666667,1,3,310,"298",456,"Lebigre et al 2007"
"Barn owl, Tyto alba",95,4.78947368421053,NA,NA,0.0210526315789474,1.02105263157895,1,2,334,"215",487,"Henry et al 2013"
"Tawny owl, Strix aluco",37,3.7027027027027,NA,NA,0.027027027027027,1.02702702702703,1,2,295,"451",431,"Saladin et al 2007"
"Campo Flicker, Colaptes campestris",33,2.72727272727273,NA,NA,0.0303030303030303,1.03030303030303,1,2,88,"236",107,"Igor et al 2013"
"Buff-breasted wrens, Thryothorus leucotis",31,1.70967741935484,2,3,0.032258064516129,1.03225806451613,1,2,316,"174",463,"Gill et al 2005"
"Swainsons hawk, Buteo swainsoni",27,2.07407407407407,NA,NA,0.0344827586206897,1.03448275862069,1,2,44,"58",55,"Briggs & Collopy 2012"
"House sparrow, Passer domesticus",112,2.72321428571429,NA,NA,0.0357142857142857,1.03571428571429,1,2,221,"186",329,"Griffith et al 1999"
"Black-crowned antshrike, Thamnophilus atrinucha",50,1.78,NA,NA,0.04,1.04,1,2,315,"494",462,"Tarwater et al 2013"
"Kentish plover, Charadrius alexandrinus",73,2.52054794520548,NA,NA,0.0410958904109589,1.04109589041096,1,2,68,"333",85,"Maher et al 2017"
"Sanderling, Calidris alba",48,3.56,NA,NA,0.0416666666666667,1.04166666666667,1,2,48,"425",59,"Reneerkens et al 2014"
"Apostlebird, Struthidea cinerea",78,2.30232558139535,NA,NA,0.0428571428571429,1.04285714285714,1,2,296,"528",433,"Warrington et al 2013"
"Pied babbler, Turdoides bicolor",61,2.37704918032787,NA,NA,0.0491803278688525,1.04918032786885,1,2,325,"377",477,"Nelson-Flower et al 2011"
"Isabelline shrike, Lanius isabellinus",61,3.37704918032787,NA,NA,0.0491803278688525,1.04918032786885,1,2,NA,"FSD",NA,"Bao et al. 2019"
"White-throated dipper, Cinclus cinclus",40,4.625,NA,NA,0.05,1.05,1,2,84,"385",102,"Oigarden et al 2010"
"Zebra finch, Taeniopygia guttata",80,3.95,NA,NA,0.05,1.05,1,2,309,"187",454,"Griffith et al 2010"
"White-eyed vireo, Vireo griseus",36,2.83333333333333,NA,NA,0.0555555555555556,1.05555555555556,1,2,341,"73",495,"Campomizzi et al 2012"
"Savi's warbler, Locustella luscinioides",102,3.84313725490196,NA,NA,0.0588235294117647,1.05882352941176,1,2,176,"380",238,"Neto et al 2010"
